text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
4700,10,0.000232569,20,0.000252488,30,0.000252854,40,0.000251524,50,0.000250892,60,0.000252465,70,0.000248603,80,0.000229745,90,0.000230864,100,0.000227799
4800,10,0.000236038,20,0.000258859,30,0.000259213,40,0.000256787,50,0.000256431,60,0.000260388,70,0.000254476,80,0.000235882,90,0.000233533,100,0.000233136
4900,10,0.000240556,20,0.000264532,30,0.000261448,40,0.000262227,50,0.000261846,60,0.000262882,70,0.000259843,80,0.00023841,90,0.000241888,100,0.000238807
5000,10,0.00024865,20,0.000268898,30,0.000270195,40,0.000273567,50,0.000266784,60,0.000269695,70,0.000264954,80,0.000243517,90,0.000243371,100,0.000242881
5100,10,0.000250157,20,0.000274947,30,0.000276255,40,0.000273693,50,0.000272662,60,0.000273295,70,0.00027134,80,0.000248396,90,0.000249053,100,0.000248667
5200,10,0.000256775,20,0.000279579,30,0.000280392,40,0.000277701,50,0.000278777,60,0.000279253,70,0.000275532,80,0.000253682,90,0.000253042,100,0.000253717
5300,10,0.000260012,20,0.000286337,30,0.000283693,40,0.000286525,50,0.000282689,60,0.000284133,70,0.000281761,80,0.000260258,90,0.00025814,100,0.000258049
5400,10,0.000265111,20,0.000289503,30,0.000292325,40,0.000288576,50,0.000288047,60,0.000289216,70,0.000286242,80,0.000263137,90,0.000264092,100,0.000263942
5500,10,0.000270052,20,0.000297393,30,0.000297412,40,0.000296206,50,0.00029386,60,0.000295192,70,0.000292138,80,0.000267783,90,0.000267821,100,0.000267239
5600,10,0.000275052,20,0.000303126,30,0.0003021,40,0.000300029,50,0.000300388,60,0.000300712,70,0.000298463,80,0.000273839,90,0.000275126,100,0.000272329
5700,10,0.000279883,20,0.000308319,30,0.000305414,40,0.000305628,50,0.000304843,60,0.000308556,70,0.000305148,80,0.000279995,90,0.0002829,100,0.000300093
5800,10,0.000285032,20,0.00031418,30,0.000315364,40,0.000312751,50,0.000326148,60,0.000323108,70,0.000308245,80,0.00028345,90,0.000284657,100,0.000282481
5900,10,0.000292767,20,0.000320525,30,0.000316186,40,0.000316373,50,0.000317347,60,0.000318614,70,0.000313284,80,0.000298168,90,0.000288788,100,0.000288204
6000,10,0.000296745,20,0.000327503,30,0.000324335,40,0.000322127,50,0.000322537,60,0.000324227,70,0.000319342,80,0.000294161,90,0.00029313,100,0.000293541
6100,10,0.000300767,20,0.000331982,30,0.00032836,40,0.000327364,50,0.000327231,60,0.000329108,70,0.000324938,80,0.000299735,90,0.000297853,100,0.000298091
6200,10,0.000304812,20,0.000332882,30,0.000337349,40,0.000334951,50,0.000333549,60,0.000339515,70,0.000351772,80,0.000329808,90,0.000333652,100,0.000328767
6300,10,0.000318685,20,0.000341479,30,0.000339398,40,0.00033711,50,0.000339519,60,0.000341018,70,0.000335739,80,0.000308569,90,0.000310175,100,0.000309167
6400,10,0.000314575,20,0.000343206,30,0.000344667,40,0.000351962,50,0.000342932,60,0.000347049,70,0.000344872,80,0.000314514,90,0.000313244,100,0.000312673
6500,10,0.000318974,20,0.00035072,30,0.000348587,40,0.000348278,50,0.000350111,60,0.000349041,70,0.00034532,80,0.000318738,90,0.000317882,100,0.000316982
6600,10,0.000325682,20,0.000353376,30,0.00035671,40,0.000353654,50,0.000355466,60,0.000354738,70,0.000350696,80,0.000324824,90,0.000323363,100,0.000323429
6700,10,0.000329615,20,0.000362337,30,0.000358402,40,0.000359193,50,0.000358749,60,0.000360612,70,0.000356489,80,0.000329464,90,0.000328503,100,0.000327133
6800,10,0.000335829,20,0.000366887,30,0.00037014,40,0.000365789,50,0.000364071,60,0.000366038,70,0.000361285,80,0.000332931,90,0.00033896,100,0.000334555
6900,10,0.000341063,20,0.000372426,30,0.000370602,40,0.000369832,50,0.00036868,60,0.000371652,70,0.000369289,80,0.000337969,90,0.000339005,100,0.000339575
7000,10,0.000345914,20,0.000375808,30,0.000378414,40,0.000377701,50,0.000371865,60,0.000388334,70,0.000372181,80,0.000347257,90,0.000349905,100,0.000345645
7100,10,0.000352026,20,0.000383684,30,0.000382054,40,0.00038155,50,0.000381146,60,0.00038424,70,0.00037933,80,0.000348067,90,0.000349571,100,0.000347627
7200,10,0.000354212,20,0.000388263,30,0.000388394,40,0.000386731,50,0.000385809,60,0.000387356,70,0.000385382,80,0.000353211,90,0.000353225,100,0.000351547
7300,10,0.000361188,20,0.000394727,30,0.000389508,40,0.000393075,50,0.000391239,60,0.00039343,70,0.000388902,80,0.000359677,90,0.000358489,100,0.000356683
7400,10,0.000364666,20,0.000397665,30,0.000398984,40,0.000397493,50,0.00039808,60,0.000399741,70,0.000393654,80,0.000363529,90,0.000366994,100,0.000362435
7500,10,0.000370253,20,0.000405154,30,0.000403026,40,0.000402213,50,0.000403638,60,0.000404577,70,0.000399557,80,0.000368852,90,0.00036996,100,0.000367894
7600,10,0.000379515,20,0.00042394,30,0.000414227,40,0.000408048,50,0.000408378,60,0.000409715,70,0.000405164,80,0.000372932,90,0.000373461,100,0.000372704
7700,10,0.000379609,20,0.000417203,30,0.000411644,40,0.000413631,50,0.000412211,60,0.000414313,70,0.000409965,80,0.000377925,90,0.00037747,100,0.000377815
7800,10,0.000383461,20,0.000418787,30,0.000422918,40,0.000418497,50,0.000419258,60,0.000421842,70,0.000414789,80,0.000382342,90,0.000383151,100,0.000382938
7900,10,0.000387908,20,0.000429909,30,0.00042537,40,0.000425077,50,0.000424995,60,0.000426891,70,0.000422073,80,0.00038734,90,0.000387304,100,0.000387884
8000,10,0.000393372,20,0.000481474,30,0.000451847,40,0.000430678,50,0.000429585,60,0.000434358,70,0.000427889,80,0.000393696,90,0.0003945,100,0.000393092
8100,10,0.00039862,20,0.000440327,30,0.000437053,40,0.000436296,50,0.000444322,60,0.000438233,70,0.000432801,80,0.000399368,90,0.000397395,100,0.0003962
