text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
5500,10,0.00010673,20,0.000107576,30,0.00010938,40,0.000108582,50,0.00010906,60,0.000108649,70,0.000110867,80,0.000111003,90,0.000110186,100,0.000111842
5600,10,0.000109026,20,0.000109172,30,0.000111564,40,0.000110699,50,0.000112094,60,0.000112449,70,0.00011219,80,0.000113981,90,0.00011406,100,0.000117506
5700,10,0.000110336,20,0.00011067,30,0.000113291,40,0.00011245,50,0.000112924,60,0.000114368,70,0.000113035,80,0.00011477,90,0.00011528,100,0.000119069
5800,10,0.00011265,20,0.000113976,30,0.000112884,40,0.000115895,50,0.00011783,60,0.000119393,70,0.000118009,80,0.000119659,90,0.000116389,100,0.000118388
5900,10,0.000114817,20,0.000115585,30,0.000115007,40,0.000117119,50,0.000116544,60,0.000118019,70,0.000117908,80,0.000119423,90,0.000118772,100,0.000119692
6000,10,0.000117866,20,0.00011654,30,0.000119138,40,0.000118596,50,0.000118963,60,0.000119708,70,0.000119745,80,0.000120103,90,0.000121023,100,0.000122917
6100,10,0.000119657,20,0.000118758,30,0.000120037,40,0.000120972,50,0.000120368,60,0.000122843,70,0.000121676,80,0.000123547,90,0.000121518,100,0.000123912
6200,10,0.000120128,20,0.000120924,30,0.000121712,40,0.000122664,50,0.000122384,60,0.000122919,70,0.000124491,80,0.00012453,90,0.00012658,100,0.000126048
6300,10,0.000124345,20,0.000122343,30,0.00012363,40,0.000122856,50,0.000124303,60,0.000123866,70,0.000125086,80,0.000128891,90,0.000129036,100,0.00012718
6400,10,0.000123419,20,0.000127306,30,0.000124525,40,0.000125644,50,0.000128228,60,0.000126859,70,0.00012693,80,0.000128821,90,0.000130077,100,0.000129652
6500,10,0.000125782,20,0.000126497,30,0.000128762,40,0.000127903,50,0.000130498,60,0.000127607,70,0.000129372,80,0.000128699,90,0.000131994,100,0.00012988
6600,10,0.00012792,20,0.000128758,30,0.000128517,40,0.000130149,50,0.000130893,60,0.000135347,70,0.000133017,80,0.000131737,90,0.000134123,100,0.000137549
6700,10,0.000132267,20,0.000132399,30,0.000131857,40,0.000133281,50,0.000132033,60,0.000132255,70,0.000133753,80,0.00013415,90,0.000136174,100,0.000134901
6800,10,0.000131688,20,0.0001317,30,0.000132433,40,0.000133472,50,0.000137653,60,0.000134556,70,0.000134852,80,0.000136994,90,0.000136654,100,0.000138086
6900,10,0.000133712,20,0.000133392,30,0.000135801,40,0.000135793,50,0.000136628,60,0.000136259,70,0.000136323,80,0.000136664,90,0.000136855,100,0.000139584
7000,10,0.000137651,20,0.000136177,30,0.000136548,40,0.000138146,50,0.000138685,60,0.000138188,70,0.000139989,80,0.000138018,90,0.000141006,100,0.000139275
7100,10,0.000139232,20,0.000138435,30,0.000140649,40,0.000138757,50,0.000139291,60,0.000141615,70,0.000141008,80,0.000141662,90,0.000142055,100,0.000145478
7200,10,0.000139446,20,0.00014,30,0.000138734,40,0.000140754,50,0.000140744,60,0.000143634,70,0.000141693,80,0.000142603,90,0.000143181,100,0.000141435
7300,10,0.000142337,20,0.000141158,30,0.000143286,40,0.000143203,50,0.000145134,60,0.000144057,70,0.000144832,80,0.000146023,90,0.000145671,100,0.000145198
7400,10,0.000143771,20,0.000143718,30,0.000144449,40,0.00014592,50,0.000144549,60,0.000145495,70,0.000146171,80,0.000146876,90,0.000150103,100,0.000148996
7500,10,0.00014478,20,0.000145171,30,0.000147023,40,0.000145985,50,0.000148564,60,0.000148606,70,0.000151789,80,0.000148594,90,0.000151065,100,0.00014963
