text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
4500,10,0.000241742,20,0.000279859,30,0.000303782,40,0.000313914,50,0.000313586,60,0.000338174,70,0.000350468,80,0.000356467,90,0.00034175,100,0.000368466
4600,10,0.0002449,20,0.000282331,30,0.000313629,40,0.000324411,50,0.000316735,60,0.000344347,70,0.000355765,80,0.000364697,90,0.000350311,100,0.00037667
4700,10,0.000252643,20,0.000290012,30,0.00031769,40,0.000329787,50,0.000323914,60,0.000350302,70,0.00036566,80,0.000371362,90,0.000354765,100,0.00038215
4800,10,0.000256397,20,0.000293617,30,0.000321603,40,0.000338561,50,0.000332918,60,0.000356509,70,0.000370386,80,0.000380317,90,0.000369711,100,0.000388942
4900,10,0.000261424,20,0.000299507,30,0.000333351,40,0.000344708,50,0.000338738,60,0.000365907,70,0.000380161,80,0.000388838,90,0.000375814,100,0.000396495
5000,10,0.00026639,20,0.00030581,30,0.000334418,40,0.00035123,50,0.000345824,60,0.000377806,70,0.000386116,80,0.000395889,90,0.000379934,100,0.000408175
5100,10,0.000271901,20,0.000314824,30,0.0003458,40,0.000357501,50,0.00034965,60,0.000376882,70,0.000392948,80,0.00040613,90,0.000382949,100,0.000416661
5200,10,0.000277521,20,0.00031808,30,0.000349314,40,0.000365241,50,0.000356912,60,0.000388414,70,0.000401171,80,0.000413136,90,0.000398283,100,0.000417894
5300,10,0.000282882,20,0.000322087,30,0.000356028,40,0.000371934,50,0.000363159,60,0.0003944,70,0.000408766,80,0.000415036,90,0.000400887,100,0.000429474
5400,10,0.000290794,20,0.000330586,30,0.000362609,40,0.000379,50,0.000369992,60,0.000404547,70,0.000413332,80,0.000425232,90,0.000408257,100,0.000440263
5500,10,0.00029435,20,0.000338436,30,0.000374322,40,0.000385355,50,0.000379348,60,0.000413116,70,0.000428052,80,0.000437426,90,0.000416403,100,0.000450129
5600,10,0.000300016,20,0.000344481,30,0.000378334,40,0.000392288,50,0.000383199,60,0.000416238,70,0.000432669,80,0.000444252,90,0.000430594,100,0.00045105
5700,10,0.000305679,20,0.00034908,30,0.000383387,40,0.000397974,50,0.000388827,60,0.000430468,70,0.000440487,80,0.000447898,90,0.000435361,100,0.00045897
5800,10,0.000310211,20,0.000356285,30,0.000390758,40,0.000409155,50,0.000397782,60,0.000433696,70,0.000448908,80,0.000461924,90,0.000442025,100,0.000476254
5900,10,0.00032052,20,0.000362844,30,0.000394349,40,0.000416941,50,0.000407866,60,0.000442562,70,0.000455962,80,0.000468844,90,0.000448341,100,0.000478892
6000,10,0.00032023,20,0.000368287,30,0.000410954,40,0.000418004,50,0.000411833,60,0.000449556,70,0.000462712,80,0.000476033,90,0.000451194,100,0.000488771
6100,10,0.000325811,20,0.0003724,30,0.000406557,40,0.000426725,50,0.000422249,60,0.000456741,70,0.000469719,80,0.000484105,90,0.000458676,100,0.000487043
6200,10,0.000331551,20,0.000380341,30,0.000417766,40,0.000434632,50,0.000426299,60,0.000462752,70,0.000478825,80,0.000489901,90,0.00047167,100,0.000496809
6300,10,0.000336972,20,0.000385419,30,0.000421873,40,0.000441099,50,0.000436732,60,0.000465566,70,0.000484848,80,0.000498646,90,0.000480706,100,0.000511754
6400,10,0.000341774,20,0.000391307,30,0.000437084,40,0.000448887,50,0.000437225,60,0.000473008,70,0.000492972,80,0.000506674,90,0.000491556,100,0.000524902
6500,10,0.000347141,20,0.000397461,30,0.000438769,40,0.000459657,50,0.000447925,60,0.000479531,70,0.000501286,80,0.000510768,90,0.000487847,100,0.000530561
6600,10,0.0003555,20,0.00040765,30,0.000439098,40,0.000465801,50,0.000455583,60,0.000490368,70,0.000504164,80,0.000519684,90,0.000509044,100,0.000529632
6700,10,0.00035769,20,0.000411363,30,0.000453082,40,0.000466703,50,0.000460613,60,0.00049869,70,0.000512362,80,0.000528562,90,0.00050911,100,0.000544335
6800,10,0.000363356,20,0.000417895,30,0.000459235,40,0.000475249,50,0.000467071,60,0.000504562,70,0.000522634,80,0.000537698,90,0.000511788,100,0.00054726
6900,10,0.000367921,20,0.000425568,30,0.000459618,40,0.000481899,50,0.000474561,60,0.000517165,70,0.000531299,80,0.000540198,90,0.00052872,100,0.000565494
7000,10,0.000375417,20,0.000429213,30,0.000472424,40,0.000489003,50,0.00048984,60,0.000523065,70,0.000542897,80,0.000553693,90,0.000537255,100,0.000573957
7100,10,0.000383012,20,0.000435259,30,0.000476148,40,0.000493665,50,0.000485602,60,0.000526487,70,0.000546589,80,0.000559584,90,0.000540228,100,0.000567808
7200,10,0.000386114,20,0.000441259,30,0.000487367,40,0.000500759,50,0.000492523,60,0.000533483,70,0.000556786,80,0.000566337,90,0.000548352,100,0.000588738
7300,10,0.000390094,20,0.000446821,30,0.000494551,40,0.000514226,50,0.000505022,60,0.000542584,70,0.000558981,80,0.00057816,90,0.00055964,100,0.000595117
7400,10,0.000396452,20,0.000452477,30,0.000497305,40,0.000516299,50,0.000505723,60,0.000547519,70,0.000567959,80,0.000584952,90,0.00055073,100,0.000599298
7500,10,0.000400168,20,0.000459372,30,0.000514045,40,0.000523966,50,0.000518026,60,0.000558493,70,0.000572507,80,0.000590554,90,0.000562601,100,0.000607401
7600,10,0.000404842,20,0.000465121,30,0.000507366,40,0.000527532,50,0.000523406,60,0.000568783,70,0.000583706,80,0.000592843,90,0.000564469,100,0.000609325
7700,10,0.000412209,20,0.000472184,30,0.000513614,40,0.000538514,50,0.000527098,60,0.000575332,70,0.000590924,80,0.000604891,90,0.000588665,100,0.000615496
7800,10,0.000418138,20,0.000477191,30,0.000521611,40,0.000544087,50,0.000538721,60,0.000580491,70,0.00059576,80,0.000613584,90,0.00058822,100,0.000631601
