text_size,pattern_size_0,time_0,pattern_size_1,time_1,pattern_size_2,time_2,pattern_size_3,time_3,pattern_size_4,time_4,pattern_size_5,time_5,pattern_size_6,time_6,pattern_size_7,time_7,pattern_size_8,time_8,pattern_size_9,time_9
4100,10,1.27013e-05,20,8.9023e-06,30,8.098e-06,40,7.2799e-06,50,7.2572e-06,60,6.7818e-06,70,7.1123e-06,80,7.7492e-06,90,6.7997e-06,100,8.127e-06
4200,10,1.28379e-05,20,8.5248e-06,30,7.6729e-06,40,7.7726e-06,50,7.6231e-06,60,6.9952e-06,70,6.6396e-06,80,8.0046e-06,90,7.4089e-06,100,7.8391e-06
4300,10,1.3305e-05,20,9.2101e-06,30,7.9051e-06,40,7.898e-06,50,6.9723e-06,60,8.255e-06,70,6.9985e-06,80,8.0896e-06,90,6.7851e-06,100,7.1508e-06
4400,10,1.31496e-05,20,9.1895e-06,30,8.054e-06,40,7.2699e-06,50,7.2699e-06,60,7.2852e-06,70,8.3129e-06,80,6.4915e-06,90,7.704e-06,100,7.1902e-06
4500,10,1.38777e-05,20,9.5124e-06,30,8.0073e-06,40,7.6999e-06,50,8.4133e-06,60,7.6347e-06,70,6.8029e-06,80,7.642e-06,90,8.1916e-06,100,7.5298e-06
4600,10,1.41739e-05,20,1.00754e-05,30,7.5527e-06,40,7.5527e-06,50,7.8953e-06,60,7.7329e-06,70,8.5895e-06,80,7.9301e-06,90,7.904e-06,100,8.0701e-06
4700,10,1.46591e-05,20,9.7361e-06,30,8.7431e-06,40,7.4653e-06,50,7.4579e-06,60,7.8058e-06,70,9.38e-06,80,8.6532e-06,90,9.528e-06,100,8.5361e-06
4800,10,1.60564e-05,20,1.11214e-05,30,9.095e-06,40,8.4732e-06,50,8.9342e-06,60,8.512e-06,70,7.6601e-06,80,7.533e-06,90,8.6699e-06,100,8.1685e-06
4900,10,1.48844e-05,20,1.03449e-05,30,9.7836e-06,40,7.8493e-06,50,7.8702e-06,60,8.4226e-06,70,8.577e-06,80,8.089e-06,90,8.301e-06,100,8.4239e-06
5000,10,1.55193e-05,20,1.04119e-05,30,9.0911e-06,40,9.1609e-06,50,9.3683e-06,60,8.5741e-06,70,8.4543e-06,80,7.1744e-06,90,8.7916e-06,100,7.3965e-06
5100,10,1.61671e-05,20,1.03145e-05,30,9.1765e-06,40,7.777e-06,50,8.2786e-06,60,7.9391e-06,70,8.78e-06,80,9.0102e-06,90,9.4123e-06,100,7.8496e-06
5200,10,1.54503e-05,20,1.1055e-05,30,8.818e-06,40,8.5325e-06,50,8.7606e-06,60,7.2071e-06,70,9.0009e-06,80,8.7322e-06,90,9.0216e-06,100,8.0717e-06
5300,10,1.5326e-05,20,1.0909e-05,30,9.1162e-06,40,8.8719e-06,50,7.9366e-06,60,7.7863e-06,70,9.0589e-06,80,7.5402e-06,90,7.3658e-06,100,9.2128e-06
5400,10,1.67854e-05,20,1.05582e-05,30,9.2318e-06,40,8.1423e-06,50,7.6005e-06,60,8.1597e-06,70,8.6457e-06,80,8.9877e-06,90,7.124e-06,100,9.8331e-06
5500,10,1.57623e-05,20,1.09717e-05,30,1.00557e-05,40,9.0922e-06,50,7.5356e-06,60,9.5194e-06,70,8.8345e-06,80,8.0501e-06,90,8.5165e-06,100,8.1989e-06
5600,10,1.69298e-05,20,1.12261e-05,30,9.3643e-06,40,8.5565e-06,50,8.865e-06,60,8.1834e-06,70,8.2176e-06,80,8.6313e-06,90,7.8573e-06,100,9.6073e-06
5700,10,1.74744e-05,20,1.11352e-05,30,9.6717e-06,40,1.43248e-05,50,1.20415e-05,60,8.9274e-06,70,9.4218e-06,80,8.0996e-06,90,8.0627e-06,100,1.00798e-05
5800,10,1.70254e-05,20,1.09766e-05,30,8.8176e-06,40,8.6169e-06,50,9.2147e-06,60,1.08122e-05,70,8.8821e-06,80,9.0458e-06,90,8.5043e-06,100,1.012e-05
5900,10,1.72784e-05,20,1.09645e-05,30,1.04544e-05,40,9.384e-06,50,9.3321e-06,60,8.2205e-06,70,8.5099e-06,80,1.05093e-05,90,1.0309e-05,100,1.03965e-05
6000,10,1.81595e-05,20,1.19301e-05,30,1.03567e-05,40,9.7742e-06,50,9.7805e-06,60,9.2282e-06,70,9.0009e-06,80,9.1534e-06,90,9.7357e-06,100,8.9565e-06
6100,10,1.74491e-05,20,1.18092e-05,30,1.04791e-05,40,9.8598e-06,50,8.6374e-06,60,9.5843e-06,70,9.9906e-06,80,9.7867e-06,90,9.285e-06,100,8.7927e-06
